team_abbreviation,full_team_name,tag,region,country,country_code,rank,score,record,earnings,founded_year,game,logo_url
G2,G2 Esports,BN1,North America,United States,us,1,2000.0,31–15,507250.0,,Valorant,https://owcdn.net/img/633822848a741.png
NRG,NRG Esports,Z5K,North America,United States,us,2,1832.0,13–9,895500.0,,Valorant,https://owcdn.net/img/6610f026c1a9e.png
SEN,Sentinels,A12L,North America,United States,us,3,1776.0,24–18,458000.0,,Valorant,https://owcdn.net/img/62875027c8e06.png
M80,M80,T11C,North America,United States,us,4,1766.0,20–12,24500.0,,Valorant,https://owcdn.net/img/6793c97263739.png
NV,ENVY,V1LE,North America,United States,us,5,1758.0,18–2,11250.0,,Valorant,https://owcdn.net/img/5f3ca822464a3.png
100T,100 Thieves,XSN,North America,United States,us,6,1738.0,13–12,215500.0,,Valorant,https://owcdn.net/img/603c00d5c5a08.png
C9,Cloud9,V5F,North America,United States,us,7,1738.0,12–12,234143.0,,Valorant,https://owcdn.net/img/628addcbd509e.png
TSM,TSM,Y5E,North America,United States,us,8,1723.0,20–20,185250.0,,Valorant,https://owcdn.net/img/60aeaad44872e.png
PLUG,Trust In Plug,A195,North America,United States,us,9,1687.0,56–18,27300.0,,Valorant,https://owcdn.net/img/6738f9386fa8d.png
WU,Winthrop University,X195,North America,United States,us,10,1686.0,45–25,10263.0,,Valorant,https://owcdn.net/img/636c2f2592313.png
BLUE,Blue Otter,B1HP,North America,United States,us,11,1685.0,109–30,9900.0,,Valorant,https://owcdn.net/img/66d47b72469a6.png
X1FM,Burger Boyz,X1FM,North America,United States,us,12,1682.0,59–16,9350.0,,Valorant,https://owcdn.net/img/66246f3924ef8.png
SRB,Shopify Rebellion Black,W1LY,North America,United States,us,13,1677.0,8–4,0.0,,Valorant,https://owcdn.net/img/679314c8ac387.png
B1O1,Landor,B1O1,North America,United States,us,14,1662.0,34–1,6325.0,,Valorant,https://owcdn.net/img/675fc79a6a89c.png
Z1LU,Pigeons,Z1LU,North America,United States,us,15,1661.0,50–10,3625.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1C4,YFP,M1C4,North America,United States,us,16,1660.0,16–15,5600.0,,Valorant,https://owcdn.net/img/677826ad11d3b.png
Z1O0,Cubert Academy,Z1O0,North America,United States,us,17,1619.0,6–3,0.0,,Valorant,https://owcdn.net/img/6793cafca1a9c.png
